"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2014,13370750.1828943,11210481.592551,15947304.2239468,16.4085800569202,0.0899099693707574,"index","California",12,"English sole"
2015,14429635.6679191,11950245.7961854,17423439.5727112,16.4847946821929,0.0961917049656345,"index","California",12,"English sole"
2016,12831001.5103527,10493892.2099266,15688611.6671697,16.3673747935884,0.10258904938515,"index","California",12,"English sole"
2017,11648459.5558909,9742027.61700498,13927964.009092,16.2706845022711,0.091187733803719,"index","California",12,"English sole"
2018,13579954.3506846,11113305.3759899,16594087.3509247,16.4241053185785,0.102273148487285,"index","California",12,"English sole"
2019,10418081.7489557,7838053.37538043,13847370.2754871,16.1590534841518,0.145182472155805,"index","California",12,"English sole"
2021,10759734.6594546,8864847.57860336,13059659.3923737,16.1913214524919,0.0988370961365655,"index","California",12,"English sole"
2022,11951346.4610944,9730978.35214054,14678347.5478285,16.2963545045631,0.104863919444975,"index","California",12,"English sole"
2023,10606261.3382444,8530349.228152,13187359.2236865,16.1769550769795,0.111131744716266,"index","California",12,"English sole"
2024,9698853.23930948,7859676.49122038,11968400.2595707,16.0875182137332,0.107278608541355,"index","California",12,"English sole"
2003,14654638.9125798,10815297.2479395,19856915.3241732,16.5002674926274,0.155000496564244,"index","Oregon",12,"English sole"
2004,13389072.4898392,10401224.2293588,17235207.9125612,16.4099494463988,0.128836742330658,"index","Oregon",12,"English sole"
2005,9989101.71645334,8181675.70761617,12195808.8620851,16.1170052283089,0.101837425612071,"index","Oregon",12,"English sole"
2006,8728006.77442695,6840319.27482248,11136629.6211984,15.9820475826665,0.124340354452318,"index","Oregon",12,"English sole"
2007,9458632.61871843,7369633.33032338,12139780.5027511,16.0624383871048,0.127328806956461,"index","Oregon",12,"English sole"
2008,6300140.82357964,4907343.3150994,8088240.79513801,15.6560825440611,0.127471356132163,"index","Oregon",12,"English sole"
2009,7596273.96838551,5988274.37830616,9636061.16844186,15.8431684177185,0.121356603877627,"index","Oregon",12,"English sole"
2010,9260561.45146107,7423879.58336008,11551641.8919974,16.0412752366916,0.112789268084738,"index","Oregon",12,"English sole"
2011,7725801.35058135,6179902.59983497,9658405.7020961,15.8600761100711,0.113911808108209,"index","Oregon",12,"English sole"
2012,5358809.70357127,4243876.24709037,6766653.82473817,15.4942524381565,0.119014849866439,"index","Oregon",12,"English sole"
2013,9355049.54813777,7114215.17205094,12301701.5836032,16.0514268141101,0.139707330825813,"index","Oregon",12,"English sole"
2014,7421120.3948672,5925219.47441387,9294681.51398083,15.8198406003576,0.114855331903348,"index","Oregon",12,"English sole"
2015,12351858.7888534,9708768.64587327,15714496.9773921,16.3293171189318,0.122847716383722,"index","Oregon",12,"English sole"
2016,12590055.4370471,10090129.5754955,15709361.7799387,16.3484178092711,0.112935531876078,"index","Oregon",12,"English sole"
2017,12866409.0826477,10517136.0239481,15740452.7530198,16.3701305260832,0.102866195773788,"index","Oregon",12,"English sole"
2018,11777454.8781548,9384555.6582797,14780501.9712994,16.2816976583586,0.115880587202627,"index","Oregon",12,"English sole"
2019,12485262.5178258,9228506.43543934,16891333.5250445,16.340059508133,0.154212900565452,"index","Oregon",12,"English sole"
2021,10095386.3932612,7955326.56019602,12811143.0320381,16.1275890847035,0.121551628874401,"index","Oregon",12,"English sole"
2022,13843299.7057998,11209616.5012987,17095762.9747988,16.4433118977859,0.107669995672232,"index","Oregon",12,"English sole"
2023,10774103.0283645,8552779.69937226,13572347.2538797,16.1926559448616,0.117802698197152,"index","Oregon",12,"English sole"
2024,7315397.41992796,5861805.45236146,9129446.52401078,15.8054919204107,0.113024377174596,"index","Oregon",12,"English sole"
2003,6458176.69211295,4542213.46699582,9182317.49555715,15.680857590117,0.179560743917662,"index","Washington",12,"English sole"
2004,8253227.92965509,6043059.34371582,11271736.2819997,15.9261149459876,0.159030468370755,"index","Washington",12,"English sole"
2005,4946014.54358446,3532394.87008819,6925346.90062502,15.4140926675332,0.171740928842574,"index","Washington",12,"English sole"
2006,2857981.43911108,1957587.17254013,4172512.98990926,14.865626143088,0.193066254089229,"index","Washington",12,"English sole"
2007,3714908.85665922,2657915.60397859,5192244.55156789,15.1278647019593,0.170825555239851,"index","Washington",12,"English sole"
2008,2363379.9292762,1632082.4432796,3422354.49753483,14.6756033258417,0.188899387344033,"index","Washington",12,"English sole"
2009,2868874.05665389,1903776.99601209,4323215.57103714,14.8694301960055,0.209228248942062,"index","Washington",12,"English sole"
2010,4010931.10306024,2961088.51889783,5432991.35126297,15.2045339676065,0.154832674697023,"index","Washington",12,"English sole"
2011,3916858.89868722,2960986.74876528,5181307.76458985,15.1808005891978,0.142741121565211,"index","Washington",12,"English sole"
2012,4212073.30557665,3033611.95820242,5848329.24447734,15.2534655560676,0.167452578569485,"index","Washington",12,"English sole"
2013,6238891.73087074,4434520.85003217,8777446.61618739,15.6463131173393,0.174178194327577,"index","Washington",12,"English sole"
2014,7683636.14119953,5827799.54653166,10130455.5654258,15.8546034489643,0.141050243952303,"index","Washington",12,"English sole"
2015,7835191.77876406,5881112.46661278,10438540.4221609,15.8741359106602,0.146369737373339,"index","Washington",12,"English sole"
2016,5619323.37137898,4123226.60642868,7658273.03861821,15.5417218180698,0.157949456619206,"index","Washington",12,"English sole"
2017,7552025.31886202,5615702.10904294,10156002.8130575,15.8373263394054,0.15115030772138,"index","Washington",12,"English sole"
2018,11122663.3620715,8340590.74925259,14832719.1664516,16.2244953290862,0.146865312978518,"index","Washington",12,"English sole"
2019,10310975.6019644,7578006.31347147,14029576.3115564,16.148719478283,0.157124710974363,"index","Washington",12,"English sole"
2021,7732272.13251865,5586560.46517504,10702118.5403837,15.860913314309,0.1658392513929,"index","Washington",12,"English sole"
2022,15498073.92788,10991325.803556,21852713.6550103,16.5562263114508,0.175314116887452,"index","Washington",12,"English sole"
2023,11366636.5317011,8802696.37401453,14677369.3598249,16.2461930024121,0.130422990307367,"index","Washington",12,"English sole"
2024,8899134.11003861,6791967.2744582,11660036.7328433,16.0014645389624,0.137866487537675,"index","Washington",12,"English sole"
