"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,106443031.50509,94172264.967773,120312694.612058,18.4831204845503,0.0624930949832247,"index","Coastwide",30,"sablefish"
2004,119543015.825486,104169136.322323,137185860.775827,18.5991868296308,0.0702361797618517,"index","Coastwide",30,"sablefish"
2005,105863708.584004,93998786.0755541,119226271.562175,18.4776630566919,0.0606493953809867,"index","Coastwide",30,"sablefish"
2006,100274079.270416,88995192.4500405,112982406.090916,18.423417787533,0.0608811588641897,"index","Coastwide",30,"sablefish"
2007,93267303.9828858,83095394.7108557,104684381.396886,18.3509801647732,0.0589196158888538,"index","Coastwide",30,"sablefish"
2008,69656435.6936872,61840425.4115403,78460311.3781835,18.0590856544051,0.0607244897838952,"index","Coastwide",30,"sablefish"
2009,65734201.3377369,58315787.3600565,74096319.7295317,18.0011299163127,0.0610962790115854,"index","Coastwide",30,"sablefish"
2010,66882985.5995958,59675372.4293065,74961136.908111,18.0184551668866,0.0581771893034917,"index","Coastwide",30,"sablefish"
2011,76935685.5824886,68634182.3227953,86241279.7199108,18.158480378625,0.0582557263007051,"index","Coastwide",30,"sablefish"
2012,67792672.1316821,60535344.7952275,75920049.8535206,18.0319646664158,0.0577697873030392,"index","Coastwide",30,"sablefish"
2013,76800908.6315144,67040094.231808,87982865.093105,18.1567270291874,0.0693510750793097,"index","Coastwide",30,"sablefish"
2014,79693516.312036,71074502.8069842,89357734.3681772,18.1936987892848,0.0583988124475288,"index","Coastwide",30,"sablefish"
2015,78817987.5863581,70003136.6666165,88742811.5792678,18.1826517976411,0.060511922690339,"index","Coastwide",30,"sablefish"
2016,82771304.3934508,73915060.4727913,92688672.4731183,18.2315919939914,0.0577382209200619,"index","Coastwide",30,"sablefish"
2017,112879299.20357,98776604.3099326,128995487.116657,18.5418296571583,0.0680922312943402,"index","Coastwide",30,"sablefish"
2018,111536683.101544,98993709.5472651,125668911.02666,18.5298640911834,0.0608670495840196,"index","Coastwide",30,"sablefish"
2019,97444214.2471873,82490604.4944513,115108562.344097,18.3947906106539,0.0849993428778141,"index","Coastwide",30,"sablefish"
2021,155071925.166586,139621860.386947,172231639.860884,18.8593996005862,0.0535475510525504,"index","Coastwide",30,"sablefish"
2022,231074620.715499,205818533.18498,259429894.444065,19.2582512497224,0.0590550739590461,"index","Coastwide",30,"sablefish"
2023,217341627.313801,193902373.666931,243614258.402795,19.1969809929815,0.0582233306514463,"index","Coastwide",30,"sablefish"
2024,211288770.159843,189225260.073321,235924867.421826,19.1687363347463,0.0562702274350957,"index","Coastwide",30,"sablefish"
2003,55746780.5241985,47375454.0634376,65597335.1654176,17.8363302181921,0.0830195930650577,"index","California",30,"sablefish"
2004,67063317.8351753,56581047.0258521,79487546.3687837,18.0211477733999,0.0867174835074504,"index","California",30,"sablefish"
2005,63606686.3397084,54978205.1464121,73589353.023506,17.968229153912,0.0743798153772615,"index","California",30,"sablefish"
2006,58792516.8119448,50862954.3238432,67958302.4429722,17.889525139667,0.07391959095397,"index","California",30,"sablefish"
2007,56025804.207252,48386331.6945055,64871434.2903117,17.8413229319838,0.0747947433435422,"index","California",30,"sablefish"
2008,39446796.2701813,33985664.4177266,45785473.4530237,17.4904633920771,0.076028965000262,"index","California",30,"sablefish"
2009,39423944.5319779,34083799.1987201,45600767.4906976,17.4898839189135,0.0742621739551688,"index","California",30,"sablefish"
2010,37365901.3497607,32469736.2630065,43000367.2456923,17.4362691178914,0.0716595291726323,"index","California",30,"sablefish"
2011,46418995.494322,40335694.4152995,53419760.6843378,17.6532193190745,0.0716706877170712,"index","California",30,"sablefish"
2012,41159955.88033,35740757.6834907,47400840.8851741,17.5329763970231,0.0720289407315516,"index","California",30,"sablefish"
2013,47584114.5237295,40625477.9120623,55734678.6149464,17.6780095350088,0.0806665702644114,"index","California",30,"sablefish"
2014,49763732.5932459,43277063.2543371,57222669.3631736,17.7227970155041,0.0712582889137427,"index","California",30,"sablefish"
2015,43688909.8306963,37807820.1378397,50484815.9781733,17.5926048482404,0.0737658080631463,"index","California",30,"sablefish"
2016,44856662.6384043,38791221.0623671,51870503.8910895,17.6189826892466,0.0741228781136843,"index","California",30,"sablefish"
2017,60452732.1427083,52091515.2424545,70156009.217785,17.91737233074,0.0759502183122544,"index","California",30,"sablefish"
2018,54293851.111106,46807425.3010849,62977663.2556335,17.809921539286,0.075699927077248,"index","California",30,"sablefish"
2019,53616773.4761873,43834693.9586843,65581806.0622561,17.7973725150747,0.102775538402168,"index","California",30,"sablefish"
2021,83671815.213347,73123023.558858,95742384.8244088,18.2424127429492,0.0687558083291516,"index","California",30,"sablefish"
2022,122317725.976589,105463039.775621,141866061.512314,18.6221325286388,0.0756449680654795,"index","California",30,"sablefish"
2023,113649903.080809,98157088.9213006,131588055.556877,18.5486332554759,0.0747735954184434,"index","California",30,"sablefish"
2024,106166755.684996,91539871.8393919,123130825.79418,18.4805215827852,0.0756322008037145,"index","California",30,"sablefish"
2003,33502722.3681086,28250618.9161188,39731250.1155202,17.3271372582132,0.0869971773492847,"index","Oregon",30,"sablefish"
2004,34873095.6678179,29087370.8835724,41809650.1854557,17.3672261921079,0.0925586112058216,"index","Oregon",30,"sablefish"
2005,30118744.7561448,25133409.2338706,36092946.1357479,17.2206582852648,0.0923229827033956,"index","Oregon",30,"sablefish"
2006,29910726.6914456,25229773.2826946,35460151.036078,17.213727726247,0.0868344485069103,"index","Oregon",30,"sablefish"
2007,27373876.4243889,23434781.9779633,31975083.4977827,17.1250997014007,0.079270750175229,"index","Oregon",30,"sablefish"
2008,21569329.8893314,18370895.4104571,25324622.53364,16.8867829510924,0.0818916843731792,"index","Oregon",30,"sablefish"
2009,19844500.9440725,16800275.874264,23440342.329292,16.8034374961921,0.0849666790715996,"index","Oregon",30,"sablefish"
2010,20370123.1758082,17029650.7016852,24365850.2142112,16.8295798351071,0.0913860126285897,"index","Oregon",30,"sablefish"
2011,21110006.8636112,17827382.3606408,24997073.6458525,16.86525774496,0.0862319808875864,"index","Oregon",30,"sablefish"
2012,19646925.2677609,16782014.2019678,23000914.4213286,16.793431409113,0.0804163355461952,"index","Oregon",30,"sablefish"
2013,21405579.3112613,17650478.4753882,25959569.6677351,16.8791621614912,0.0984144162593825,"index","Oregon",30,"sablefish"
2014,21092696.6730168,17932272.4263906,24810121.2362321,16.8644374092888,0.0828203141664633,"index","Oregon",30,"sablefish"
2015,26178938.849424,22165510.2708102,30919064.3891649,17.080465784753,0.084908569087333,"index","Oregon",30,"sablefish"
2016,28044558.6988887,24124311.4034931,32601853.7673795,17.1493051853359,0.0768251481160193,"index","Oregon",30,"sablefish"
2017,40372319.3675964,31633370.4750986,51525466.5133535,17.5136549439307,0.124457284322415,"index","Oregon",30,"sablefish"
2018,30668259.3497496,26055298.1163805,36097922.4778933,17.2387387803145,0.0831684120369122,"index","Oregon",30,"sablefish"
2019,29318124.0695232,23659754.0374411,36329726.741695,17.1937164516781,0.109405291434724,"index","Oregon",30,"sablefish"
2021,49057836.7147079,42290636.6003373,56907900.5802374,17.7085105011365,0.0757331459965053,"index","Oregon",30,"sablefish"
2022,73967477.4113288,63524785.6286886,86126819.011642,18.119136060121,0.0776521144032361,"index","Oregon",30,"sablefish"
2023,69771831.3955984,59139507.5681838,82315674.5206781,18.060740924612,0.0843541922740783,"index","Oregon",30,"sablefish"
2024,73604302.7816336,62833792.3817224,86221015.5175403,18.1142140436973,0.0807211066008157,"index","Oregon",30,"sablefish"
2003,17193528.6127828,13985685.9634708,21137141.7126556,16.6600436275435,0.105358412610008,"index","Washington",30,"sablefish"
2004,17606602.3224924,13539258.0800969,22895822.1719764,16.6837845216238,0.134023122069541,"index","Washington",30,"sablefish"
2005,12138277.4881508,9752988.55634239,15106936.6613308,16.3118744462264,0.11162966939505,"index","Washington",30,"sablefish"
2006,11570835.7670258,8775446.53111762,15256686.9244466,16.263998332259,0.141089388214092,"index","Washington",30,"sablefish"
2007,9867623.35124533,7804068.54670035,12476824.1103176,16.1047695872006,0.119703129664889,"index","Washington",30,"sablefish"
2008,8640309.53417462,6533581.3626247,11426344.0987223,15.9719489658532,0.142596072978185,"index","Washington",30,"sablefish"
2009,6465755.86168642,4890272.0185082,8548808.47214822,15.6820304793147,0.142488328411595,"index","Washington",30,"sablefish"
2010,9146961.07402696,7249645.80839189,11540825.4556264,16.0289322590295,0.118608856714001,"index","Washington",30,"sablefish"
2011,9406683.22455577,7442139.27655026,11889819.0424832,16.0569309759485,0.119523662244393,"index","Washington",30,"sablefish"
2012,6985790.98359058,5551511.60551187,8790628.41514421,15.7593887845756,0.117251121140909,"index","Washington",30,"sablefish"
2013,7811214.79652357,5940376.73284231,10271246.9833937,15.8710710534492,0.139690291884808,"index","Washington",30,"sablefish"
2014,8837087.0457734,6865308.49820722,11375178.1839038,15.9944678606014,0.1288168193843,"index","Washington",30,"sablefish"
2015,8950138.90623765,6556193.03746272,12218216.5752627,16.0071796103806,0.158808503639363,"index","Washington",30,"sablefish"
2016,9870083.05615783,7477408.81380077,13028382.1523376,16.1050188263852,0.141646455703919,"index","Washington",30,"sablefish"
2017,12054247.6932654,9307802.97844235,15611083.2800322,16.3049276614506,0.131922845121366,"index","Washington",30,"sablefish"
2018,26574572.6406889,20359227.8639302,34687362.2003326,17.0954654008095,0.135931363102587,"index","Washington",30,"sablefish"
2019,14509316.7014768,10840011.2713564,19420669.0264273,16.4903015321924,0.148751171309171,"index","Washington",30,"sablefish"
2021,22342273.2385314,17793554.2191752,28053820.3507009,16.9219911028534,0.11614717284966,"index","Washington",30,"sablefish"
2022,34789417.3275801,26896553.2376201,44998463.0855853,17.3648237987148,0.131285624028068,"index","Washington",30,"sablefish"
2023,33919892.837393,27123430.0121826,42419381.677887,17.339512209608,0.114085627571311,"index","Washington",30,"sablefish"
2024,31517711.6932132,25402963.8524695,39104340.5858303,17.266060221753,0.110044782030593,"index","Washington",30,"sablefish"
