"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,103210110.491299,90764494.3666393,117362267.943637,18.4522773760899,0.0655617354242444,"index","Coastwide",30,"sablefish",13
2004,122194358.632157,106171361.093936,140635488.964991,18.6211234385965,0.0717148268279909,"index","Coastwide",30,"sablefish",13
2005,106073213.635977,93831105.5779827,119912544.797978,18.4796401083356,0.0625690749059164,"index","Coastwide",30,"sablefish",13
2006,96944980.2290906,85667851.5236983,109706605.505555,18.3896541614078,0.0630960452700005,"index","Coastwide",30,"sablefish",13
2007,93754193.0405352,83208702.5500129,105636170.776714,18.3561869475803,0.0608809397740042,"index","Coastwide",30,"sablefish",13
2008,68617679.4027181,60853018.8779539,77373087.0453165,18.0440607767335,0.0612709160550044,"index","Coastwide",30,"sablefish",13
2009,64839046.4131376,57376948.9004709,73271619.0095378,17.9874185479552,0.0623814291422383,"index","Coastwide",30,"sablefish",13
2010,66542486.0777136,59197489.3516599,74798821.7388574,18.0133511900105,0.0596753315767275,"index","Coastwide",30,"sablefish",13
2011,78365000.844107,69750461.999984,88043479.3005143,18.1768879678418,0.0594160742038403,"index","Coastwide",30,"sablefish",13
2012,72931980.4975449,64910814.8917337,81944338.3689769,18.1050377907352,0.0594464921522865,"index","Coastwide",30,"sablefish",13
2013,75982129.0887101,66207579.7081441,87199743.085356,18.1460087270304,0.0702580336484662,"index","Coastwide",30,"sablefish",13
2014,80516786.8237193,71646321.0032715,90485496.947153,18.2039762526207,0.0595540986469211,"index","Coastwide",30,"sablefish",13
2015,83659617.3649396,74012168.0750242,94564606.870501,18.242266950276,0.0625148625921041,"index","Coastwide",30,"sablefish",13
2016,82170053.2958903,73263485.4214847,92159383.6248124,18.2243014785124,0.0585360696335524,"index","Coastwide",30,"sablefish",13
2017,108615532.794272,96416706.0316865,122357778.540022,18.5033249828082,0.0607842491483614,"index","Coastwide",30,"sablefish",13
2018,112775685.488845,100085743.42114,127074594.270261,18.5409113196162,0.0609059706100424,"index","Coastwide",30,"sablefish",13
2019,98759427.385925,83566047.9026252,116715158.158023,18.408197424388,0.0852309306236167,"index","Coastwide",30,"sablefish",13
2021,162544310.570081,145960363.616769,181012517.67276,18.9064612029948,0.0549068978337781,"index","Coastwide",30,"sablefish",13
2022,234738736.048261,208593907.061139,264160516.373016,19.2739836921464,0.0602479441932944,"index","Coastwide",30,"sablefish",13
2023,228752431.326512,203627365.274681,256977615.789527,19.2481508908132,0.0593626470055333,"index","Coastwide",30,"sablefish",13
2024,228466577.28115,203900309.352472,255992632.381608,19.2469004874956,0.058041237324777,"index","Coastwide",30,"sablefish",13
